,, 533 ," 9,644 "," 4,547 ",,,," 221,299.01 ",," 7,143,832.81 "," 559,776.83 "," 539,252.67 ",,,,,,,,,,,,," 499,983.03 "," 473,569.68 "," 973,552.71 "
BATCH NO.,BY,TOTAL CTN," Gross
Weight "," Volume
Weight ",Duty,Mat'l no, QTY ,AMOUNT, EX.RATE@ ,AMOUNT (THB), Actual Duty Fee , Actual Vat Fee , SERVICE& Handling Chgs , Transportation ," Paperless, Document, D/O , Bank Fee ", Customs fee , Customs Overtime , Freight+FUEL+Security charge ," EX-WORK/ 
FREE ZONE CHG "," CAF, CC Fee "," THC, CFS, STATUS, FACILITY ", Port/Storage /Terminal charges , Translate fee for through B/L for Form E document , Courier fee for Form E document , TOTAL Freight&Local chgs(Excluded VAT) , vat 7% , Grand Total 
IM190522,AIR,,,,10%,80687,"13,950.00",545.74,36.1917,"19,751.26"," 1,975.13 "," 1,520.85 ",,,,,,,,,,,,, -   ,, -   
IM190522,AIR,,,,10%,80688,"15,000.00","1,173.76",36.1917,"42,480.37"," 4,248.04 "," 3,270.99 ",,,,,,,,,,,,, -   ,, -   
IM190522,AIR,,,,10%,80690,"1,000.00",48.76,36.1917,"1,764.71", 176.47 , 135.88 ,,,,,,,,,,,,, -   ,, -   
IM190522,AIR,,,,10%,80693,"3,400.00",165.76,36.1917,"5,999.14", 599.91 , 461.93 ,,,,,,,,,,,,, -   ,, -   
IM190522,AIR,,,,10%,80694,"10,300.00",540.77,36.1917,"19,571.39"," 1,957.14 "," 1,507.00 ",,,,,,,,,,,,, -   ,, -   
IM190522,AIR,,,,10%,80696,"4,900.00",339.96,36.1917,"12,303.73"," 1,230.37 ", 947.39 ,,,,,,,,,,,,, -   ,, -   
IM190522,AIR,,,,10%,80709,"16,200.00","1,123.95",36.1917,"40,677.66"," 4,067.77 "," 3,132.18 ",,,,,,,,,,,,, -   ,, -   
IM190522,AIR,,,,10%,79161,"2,100.00",59.85,36.1917,"2,166.07", 216.61 , 166.79 ,,,,,,,,,,,,, -   ,, -   
IM190523,AIR, 2 , 117.40 , 296.50 ,5%,64003,"6,300.00",589.07,36.1917,"21,319.44"," 1,065.97 "," 1,566.98 "," 1,300.00 "," 1,500.00 ", 750.00 , 400.00 ,,," 1,930.80 ",,," 1,814.00 ",,," 7,694.80 ", 510.64 ," 8,205.44 "
IM190523,AIR,,,,5%,64006,"4,200.00",379.69,36.1917,"13,741.63", 687.08 ," 1,010.01 ",,,,,,,,,,,,, -   ,, -   
IM190523,AIR,,,,5%,64165,"1,012.00",35.62,36.1917,"1,289.15", 64.46 , 94.75 ,,,,,,,,,,,,, -   ,, -   
IM190531,AIR, 103 ," 1,919.40 "," 2,082.00 ",5%,21109,267.92,"1,060.96",32.0022,"33,953.05"," 1,697.65 "," 2,495.55 "," 1,200.00 "," 2,700.00 ", 300.00 , 200.00 ,," 111,540.23 ",," 7,807.81 ",," 72,072.80 "," 1,200.00 ", 631.75 ," 197,652.59 "," 103,211.65 "," 300,864.24 "
IM190531,AIR,,,,5%,21116,201.16,945.45,32.0022,"30,256.48"," 1,512.82 "," 2,223.85 ",,,,,,,,,,,,, -   ,, -   
IM190531,AIR,,,,5%,21102,340.16,"1,836.86",32.0022,"58,783.56"," 2,939.18 "," 4,320.59 ",,,,,,,,,,,,, -   ,, -   
IM190531,AIR,,,,5%,21102,573.31,"3,095.87",32.0022,"99,074.65"," 4,953.73 "," 7,281.99 ",,,,,,,,,,,,, -   ,, -   
IM190531,AIR,,,,5%,21102,236.84,"1,278.94",32.0022,"40,928.89"," 2,046.44 "," 3,008.27 ",,,,,,,,,,,,, -   ,, -   
IM190531,AIR,,,,5%,40203,199.33,"1,176.05",32.0022,"37,636.19"," 1,881.81 "," 2,766.26 ",,,,,,,,,,,,, -   ,, -   
IM190531,AIR,,,,5%,21104,316.85,"1,710.99",32.0022,"54,755.44"," 2,737.77 "," 4,024.53 ",,,,,,,,,,,,, -   ,, -   
IM190531,AIR,,,,5%,21104,827.10,"4,466.34",32.0022,"142,932.71"," 7,146.64 "," 10,505.55 ",,,,,,,,,,,,, -   ,, -   
IM190531,AIR,,,,5%,21104,226.78,"1,351.61",32.0022,"43,254.49"," 2,162.72 "," 3,179.21 ",,,,,,,,,,,,, -   ,, -   
IM190531,AIR,,,,5%,M0 021315,198.43,"1,408.85",32.0022,"45,086.30"," 2,254.31 "," 3,313.84 ",,,,,,,,,,,,, -   ,, -   
IM190531,AIR,,,,5%,M0 021302,595.29,"4,226.56",32.0022,"135,259.22"," 6,762.96 "," 9,941.55 ",,,,,,,,,,,,, -   ,, -   
IM190531,AIR,,,,5%,M0 021303,52.12,414.35,32.0022,"13,260.11", 663.01 , 974.62 ,,,,,,,,,,,,, -   ,, -   
IM190531,AIR,,,,5%,M0 021303,200.26,"1,592.07",32.0022,"50,949.74"," 2,547.49 "," 3,744.81 ",,,,,,,,,,,,, -   ,, -   
IM190531,AIR,,,,5%,M0 021301,299.93,"2,384.44",32.0022,"76,307.33"," 3,815.37 "," 5,608.59 ",,,,,,,,,,,,, -   ,, -   
IM190531,AIR,,,,5%,M0 021308,33.83,240.19,32.0022,"7,686.61", 384.33 , 564.97 ,,,,,,,,,,,,, -   ,, -   
IM190531,AIR,,,,5%,21114,330.56,"1,537.10",32.0022,"49,190.58"," 2,459.53 "," 3,615.51 ",,,,,,,,,,,,, -   ,, -   
IM190531,AIR,,,,5%,M0 021301,"1,370.24","10,893.41",32.0022,"348,613.09"," 17,430.65 "," 25,623.06 ",,,,,,,,,,,,, -   ,, -   
